t,eeg
1747593905.372615,253.31704138927293
1747593905.3765366,295.73122230775505
1747593905.3804584,340.27888859038177
1747593905.3843799,386.4571365369339
1747593905.3883014,433.74130540866804
1747593905.392223,481.5907576717331
1747593905.3961446,529.4596265557084
1747593905.4000661,576.8150121150385
1747593905.4039876,623.1507460680162
1747593905.4079092,667.9916445674013
1747593905.411831,710.8972718758743
1747593905.4157524,751.4711582570327
1747593905.419674,789.3457858714071
1747593905.4235954,824.1236145625866
1747593905.4275172,855.3492873878515
1747593905.4314387,882.5567822890688
1747593905.4353602,905.3400044756761
1747593905.4392817,923.4356697625881
1747593905.4432034,936.7780745917562
1747593905.447125,945.4520734634633
1747593905.4510465,949.6093153919911
1747593905.454968,949.4492821515472
1747593905.4588897,945.237586011322
1747593905.4628112,937.2948772733665
1747593905.4667327,925.9638086556141
1747593905.4706542,911.5868076699439
1747593905.474576,894.4936991044091
1747593905.4784975,874.9936915569922
1747593905.482419,853.3743818070443
1747593905.4863405,829.8981061881855
1747593905.4902623,804.7907606536968
1747593905.4941838,778.2414624175375
1747593905.4981053,750.4230911593714
1747593905.5020268,721.5074042874437
1747593905.5059485,691.6501858302292
1747593905.50987,660.9706782810553
1747593905.5137916,629.5600329526302
1747593905.517713,597.5033261242645
1747593905.5216348,564.8805736509777
1747593905.5255563,531.7535806626013
1747593905.5294778,498.16676208810645
1747593905.5333993,464.1607021662824
1747593905.537321,429.7787472022485
1747593905.5412426,395.066127939863
1747593905.545164,360.07259322245807
1747593905.5490856,324.85501177736364
1747593905.5530074,289.47321588548806
1747593905.5569289,253.98620008736557
1747593905.6157525,-256.4550051139138
1747593905.619674,-285.90190526171506
1747593905.6235955,-314.2458323696337
1747593905.627517,-341.4027194540082
1747593905.6314387,-367.29160658603774
1747593905.6353602,-391.83332866092337
1747593905.6392817,-414.94830728127727
1747593905.6432033,-436.56000181315744
1747593905.647125,-456.60002267061884
1747593905.6510465,-475.00829097343717
1747593905.654968,-491.73377349921844
1747593905.6588895,-506.73946625237045
1747593905.6628113,-520.004220883685
1747593905.6667328,-531.5189930041129
1747593905.6706543,-541.2847445488484
1747593905.6745758,-549.3149457839945
1747593905.6784976,-555.6376199618486
1747593905.682419,-560.2933785124544
1747593905.6863406,-563.3329737156982
1747593905.690262,-564.8180076517339
1747593905.6941838,-564.819803871199
1747593905.6981053,-563.4133208825413
1747593905.7020268,-560.6751077045654
1747593905.7059484,-556.6886172790894
1747593905.70987,-551.546478614037
1747593905.7137916,-545.3464749070969
1747593905.717713,-538.1889786306019
1747593905.7216346,-530.1771309484315
1747593905.7255564,-521.4132765395701
1747593905.729478,-511.9914647025777
1747593905.7333994,-501.99338147555443
1747593905.737321,-491.48805513059585
1747593905.7412426,-480.5296222088393
1747593905.7451642,-469.1567300059936
1747593905.7490857,-457.3989529964199
1747593905.7530072,-445.2840690274412
1747593905.756929,-432.84056774074776
1747593905.7608504,-420.09985108912514
1747593905.764772,-407.10077744338275
1747593905.7686934,-393.89131073331055
