t,eeg
1747593362.7858043,-259.73528916420923
1747593362.7897258,-302.4879832178796
1747593362.7936473,-346.8343928656238
1747593362.7975688,-392.30522263278255
1747593362.8014905,-438.40774915933747
1747593362.805412,-484.6293796782228
1747593362.8093336,-530.452987898815
1747593362.813255,-575.3736282571379
1747593362.8171768,-618.9087535560661
1747593362.8210983,-660.6086771060684
1747593362.8250198,-700.06925959913
1747593362.8289413,-736.937036582763
1747593362.832863,-770.9088785795534
1747593362.8367846,-801.7408162523885
1747593362.840706,-829.2612077600489
1747593362.8446276,-853.3685283532385
1747593362.8485494,-874.0156596034659
1747593362.8524709,-891.1992895705534
1747593362.8563924,-904.9575594053198
1747593362.860314,-915.3652942665748
1747593362.8642356,-922.5282293168983
1747593362.8681571,-926.5844644620208
1747593362.8720787,-927.705486225735
1747593362.8760002,-926.0903252362968
1747593362.879922,-921.9645575689831
1747593362.8838434,-915.5850307794988
1747593362.887765,-907.23342565837
1747593362.8916864,-897.1983888506413
1747593362.8956082,-885.7637930195341
1747593362.8995297,-873.2074381334493
1747593362.9034512,-859.7986778607882
1747593362.9073727,-845.7908652486499
1747593362.9112945,-831.4168674417976
1747593362.915216,-816.8907797648087
1747593362.9191375,-802.4094107759462
1747593362.923059,-788.1507920483119
1747593362.9269807,-774.2731835869728
1747593362.9309022,-760.9152863613475
1747593362.9348238,-748.1951898689937
1747593362.9387453,-736.2089337258052
1747593362.942667,-725.0309507077834
1747593362.9465885,-714.7146944432742
1747593362.95051,-705.2918683764213
1747593362.9544315,-696.7730065771862
1747593362.9583533,-689.1509344900035
1747593362.9622748,-682.4035303369625
1747593362.9661963,-676.4938220310618
1747593362.9701178,-671.3712257536375
1747593362.9740396,-666.9759308034769
1747593362.977961,-663.2423242489862
1747593362.9818826,-660.0989132949458
1747593362.985804,-657.4683220973411
1747593362.9897258,-655.2702887488431
1747593362.9936473,-653.4250522731833
1747593362.9975688,-651.8541783373724
1747593363.0014904,-650.4803778767731
1747593363.005412,-649.2288647431577
1747593363.0093336,-648.0295139382866
1747593363.0132551,-646.8178757807889
1747593363.0171766,-645.5352029538975
1747593363.0210984,-644.1286958777796
1747593363.02502,-642.5520861911904
1747593363.0289414,-640.7660925664015
1747593363.032863,-638.7386511901158
1747593363.0367846,-636.4447947734043
1747593363.0407062,-633.866082673288
1747593363.0446277,-630.9901564995191
1747593363.0485492,-627.810885068979
1747593363.052471,-624.3283473951313
1747593363.0563924,-620.5478529383089
1747593363.060314,-616.4787790466631
1747593363.0642354,-612.1343649978973
1747593363.0681572,-607.5318715006348
1747593363.0720787,-602.6917939615821
1747593363.0760002,-597.6364843419552
1747593363.0799217,-592.3895736878485
1747593363.0838435,-586.9761511017234
1747593363.087765,-581.4224030710809
1747593363.0916865,-575.7545117512595
1747593363.095608,-569.997931803332
1747593363.0995297,-564.1774433142597
1747593363.1034513,-558.3171264993761
1747593363.1073728,-552.4397780453743
1747593363.1112943,-546.566347917529
1747593363.115216,-540.7158661268186
1747593363.1191375,-534.9055361216161
1747593363.123059,-529.1505841002959
1747593363.1269805,-523.4640440035917
1747593363.1309023,-517.8565161745008
1747593363.1348238,-512.3349144484775
1747593363.1387453,-506.9005029049107
1747593363.1426668,-501.54862920085026
1747593363.1465886,-496.27051740443534
1747593363.15051,-491.05574458554565
1747593363.1544316,-485.89511034126497
1747593363.158353,-480.78252794248806
1747593363.1622748,-475.71433654959947
1747593363.1661963,-470.6880001383374
1747593363.1701179,-465.70280566224096
1747593363.1740394,-460.76090022817226
1747593363.177961,-455.8646815068085
1747593363.1818826,-451.0106563273353
1747593363.1858041,-446.18516487837843
1747593363.1897256,-441.36370472449283
1747593363.1936474,-436.51053604936106
1747593363.197569,-431.58042877896975
1747593363.2014904,-426.52394488270227
1747593363.205412,-421.29138899655754
1747593363.2093337,-415.8374964467488
1747593363.2132552,-410.1306331575107
1747593363.2171767,-404.15839991435223
1747593363.2210982,-397.9221150955842
1747593363.22502,-391.4228871693972
1747593363.2289414,-384.64655730630983
1747593363.232863,-377.55269035599315
1747593363.2367845,-370.0667131778626
1747593363.2407062,-362.07695081718185
1747593363.2446277,-353.44150194940397
1747593363.2485492,-343.9985603746341
1747593363.2524707,-333.57585404851517
1747593363.2563925,-322.0101055221959
1747593363.260314,-309.1754553671356
1747593363.2642355,-295.0003165768905
1747593363.268157,-279.46078439958166
1747593363.2720788,-262.5584548840662
1747593363.3465884,252.18187951607862
1747593363.3505101,280.76680826206535
1747593363.3544316,308.600639279437
1747593363.3583531,335.5186530733881
1747593363.3622746,361.34293885268494
1747593363.3661964,385.9042010429256
1747593363.370118,409.0778849744108
1747593363.3740394,430.81462381095935
1747593363.377961,451.13323149071516
1747593363.3818827,470.0909724817088
1747593363.3858042,487.7707039470666
1747593363.3897257,504.2800445217251
1747593363.3936472,519.7391322114187
1747593363.397569,534.2649484882392
1747593363.4014904,547.962482702382
1747593363.405412,560.9130446330493
1747593363.4093335,573.1608996189032
1747593363.4132552,584.7109352955961
1747593363.4171767,595.5392961947389
1747593363.4210982,605.6093903526395
1747593363.4250197,614.8826727054723
1747593363.4289415,623.3305576106076
1747593363.432863,630.9581643787847
1747593363.4367845,637.8130195673359
1747593363.440706,643.9599857434957
1747593363.4446278,649.4566469511074
1747593363.4485493,654.351353853327
1747593363.4524708,658.6833220029346
1747593363.4563923,662.474665299203
1747593363.460314,665.7303277630965
1747593363.4642355,668.4505224230362
1747593363.468157,670.6364894085942
1747593363.4720786,672.2876213221969
1747593363.4760003,673.4178573329465
1747593363.4799218,674.0834764509981
1747593363.4838433,674.3783962523818
1747593363.4877648,674.40605029053
1747593363.4916866,674.2682258702093
1747593363.495608,674.0602961813576
1747593363.4995296,673.8517083385939
1747593363.503451,673.6712843833478
1747593363.5073729,673.515678065796
1747593363.5112944,673.3680284834459
1747593363.5152159,673.2087137527591
1747593363.5191374,673.0251045149561
1747593363.5230591,672.830296905146
1747593363.5269806,672.6671411981648
1747593363.5309021,672.5844948678416
1747593363.5348237,672.6215394888586
1747593363.5387454,672.8143075243448
1747593363.542667,673.1881720877473
1747593363.5465884,673.7301004506922
1747593363.55051,674.378593478133
1747593363.5544317,675.0439227877207
1747593363.5583532,675.6354635895696
1747593363.5622747,676.0840183894161
1747593363.5661962,676.3661595362164
1747593363.570118,676.517323490963
1747593363.5740395,676.6116072512585
1747593363.577961,676.7295374630238
1747593363.5818825,676.9458881020014
1747593363.5858042,677.3250622741665
1747593363.5897257,677.9042813953807
1747593363.5936472,678.6766233595075
1747593363.5975688,679.5928581119326
1747593363.6014905,680.5823373086819
1747593363.605412,681.575706397969
1747593363.6093335,682.5222601094438
1747593363.613255,683.4080372142364
1747593363.6171768,684.2586691831651
1747593363.6210983,685.1166449558897
1747593363.6250198,686.0250638176395
1747593363.6289413,687.0333350821384
1747593363.632863,688.1931414427988
1747593363.6367846,689.5313005420614
1747593363.640706,691.0303730107419
1747593363.6446276,692.6371136064778
1747593363.6485493,694.2812971803845
1747593363.6524708,695.8877576694329
1747593362.9505162,258.60937152323186
1747593362.954438,267.9206722243628
1747593362.9583595,276.1054983785585
1747593362.962281,283.0958815985267
1747593362.9662025,288.8304350380842
1747593362.9701242,293.25999297643904
1747593362.9740458,296.3649683667431
1747593362.9779673,298.159010751493
1747593362.9818888,298.67225312011067
1747593362.9858105,297.9453130598323
1747593362.989732,296.04163261402437
1747593362.9936535,293.044505204937
1747593362.997575,289.0330967058605
1747593363.0014968,284.06893604328974
1747593363.0054183,278.1977560329184
1747593363.0093398,271.4492226751441
1747593363.0132613,263.84048748969957
1747593363.017183,255.39504292676787
1747593382.7370322,-270.8267332994361
1747593382.7409537,-312.4103877982062
1747593382.7448752,-355.77385120194464
1747593382.748797,-400.4378489394491
1747593382.7527184,-445.9017975514623
1747593382.75664,-491.654975314303
1747593382.7605615,-537.1921552045965
1747593382.7644832,-582.0247440151163
1747593382.7684047,-625.6867551208938
1747593382.7723262,-667.7424834383824
1747593382.7762477,-707.7957914336654
1747593382.7801695,-745.4954433161043
1747593382.784091,-780.5372177299786
1747593382.7880125,-812.6672948702579
1747593382.791934,-841.6855032221022
1747593382.7958558,-867.444732879423
1747593382.7997773,-889.8487501845221
1747593382.8036988,-908.8519278038117
1747593382.8076203,-924.458372933148
1747593382.811542,-936.7172966232223
1747593382.8154635,-945.7176498164837
1747593382.819385,-951.5854321202179
1747593382.8233066,-954.4808578934836
1747593382.8272283,-954.5921777843189
1747593382.8311498,-952.1290331935983
1747593382.8350713,-947.3187495744306
1747593382.8389928,-940.403205304817
1747593382.8429146,-931.6331662299208
1747593382.846836,-921.2622272616013
1747593382.8507576,-909.5433845554389
1747593382.854679,-896.7266071384748
1747593382.8586009,-883.054819508028
1747593382.8625224,-868.759671100658
1747593382.8664439,-854.0593316553461
1747593382.8703654,-839.1572164478508
1747593382.8742871,-824.2398567865943
1747593382.8782086,-809.474879000568
1747593382.8821301,-795.0104471603141
1747593382.8860517,-780.975214535792
1747593382.8899734,-767.4777476824481
1747593382.893895,-754.6063699381324
1747593382.8978164,-742.4301278856075
1747593382.901738,-730.9997844104612
1747593382.9056597,-720.3482466530494
1747593382.9095812,-710.4915472721027
