t,eeg
1747588210.0956657,255.4761419794278
1747588210.0995874,262.9206061704217
1747588210.103509,269.9437604301622
1747588210.1074305,276.3252005939704
1747588210.111352,281.8473741085149
1747588210.1152737,286.32041634872564
1747588210.1191952,289.632441789401
1747588210.1231167,291.75187942202473
1747588210.1270382,292.6850027473021
1747588210.13096,292.4698777873727
1747588210.1348815,291.20576178978035
1747588210.138803,289.03320782757766
1747588210.1427245,286.07563754033987
1747588210.1466463,282.4133708087818
1747588210.1505678,278.0625016453179
1747588210.1544893,272.94055746139236
1747588210.1584108,266.8776387358452
1747588210.1623325,259.698976537698
1747588210.166254,251.34322224082385
1747588210.303509,-294.4022864407144
1747588210.3074305,-341.72967842408286
1747588210.311352,-389.03148713286487
1747588210.3152735,-435.6346981946205
1747588210.3191953,-480.9016452667551
1747588210.3231168,-524.2500436546447
1747588210.3270383,-565.1574268881197
1747588210.3309598,-603.1699372306263
1747588210.3348815,-637.921500937651
1747588210.338803,-669.1408433393127
1747588210.3427246,-696.6388549392028
1747588210.346646,-720.2908879713301
1747588210.3505678,-740.0165450145299
1747588210.3544893,-755.7606544159695
1747588210.3584108,-767.4949435875781
1747588210.3623323,-775.2316596204529
1747588210.366254,-779.0188637187529
1747588210.3701756,-778.926389340397
1747588210.374097,-775.0484530516843
1747588210.3780186,-767.5163000538979
1747588210.3819404,-756.5081149133905
1747588210.3858619,-742.2567316106404
1747588210.3897834,-725.0470697977584
1747588210.393705,-705.1970589485225
1747588210.3976266,-683.0340081332931
1747588210.4015481,-658.87669860805
1747588210.4054697,-633.0246858188451
1747588210.4093912,-605.7612611947812
1747588210.413313,-577.369950802993
1747588210.4172344,-548.1464603558651
1747588210.421156,-518.3947266188443
1747588210.4250774,-488.40999630354383
1747588210.4289992,-458.45779927255495
1747588210.4329207,-428.7701288331861
1747588210.4368422,-399.5639900775388
1747588210.4407637,-371.0521418526714
1747588210.4446855,-343.4277580948173
1747588210.448607,-316.84282960666087
1747588210.4525285,-291.40114242534605
1747588210.45645,-267.16018504342134
1747588210.846674,-264.05846235011177
1747588210.8505957,-285.48560384206786
1747588210.8545172,-306.35585032980117
1747588210.8584387,-326.45552026509205
1747588210.8623602,-345.58683505060566
