t,eeg
1747591141.0432577,-257.01377893638954
1747591141.0471795,-262.7404636654109
1747591141.051101,-267.0326989618725
1747591141.0550225,-269.75846481927357
1747591141.058944,-270.79014844732194
1747591141.0628657,-270.0254431117641
1747591141.0667872,-267.376209035838
1747591141.0707088,-262.7580762252552
1747591141.0746303,-256.09352766560494
1747591143.6100338,-257.52222161558916
1747591143.6139553,-286.104012161833
1747591143.617877,-315.9757722299897
1747591143.6217985,-346.83006314591825
1747591143.62572,-378.3501145393009
1747591143.6296415,-410.22579670160815
1747591143.6335633,-442.1615073944608
1747591143.6374848,-473.8578144242421
1747591143.6414063,-504.9870472458174
1747591143.6453278,-535.2016555373812
1747591143.6492496,-564.1674255289437
1747591143.653171,-591.582799456896
1747591143.6570926,-617.1789340660729
1747591143.661014,-640.7184503108858
1747591143.6649358,-661.9982664619662
1747591143.6688573,-680.854112941414
1747591143.6727788,-697.165131287742
1747591143.6767004,-710.8535185170657
1747591143.680622,-721.8778521694308
1747591143.6845436,-730.2300780312344
1747591143.688465,-735.9418107931185
1747591143.6923866,-739.0879551577173
1747591143.6963084,-739.7765209674209
1747591143.70023,-738.1339063878122
1747591143.7041514,-734.3024965815291
1747591143.708073,-728.4490803167283
1747591143.7119946,-720.764954627096
1747591143.7159162,-711.4525142707441
1747591143.7198377,-700.7186886838793
1747591143.7237592,-688.7847011280566
1747591143.727681,-675.8905129760308
1747591143.7316024,-662.2815626625353
1747591143.735524,-648.1948107646647
1747591143.7394454,-633.8518101570486
1747591143.7433672,-619.4501345061142
1747591143.7472887,-605.158047094367
1747591143.7512102,-591.1201938849256
1747591143.7551317,-577.4655752359713
1747591143.7590535,-564.309610842637
1747591143.762975,-551.7533341055156
1747591143.7668965,-539.8836036893189
1747591143.770818,-528.7767133702052
1747591143.7747397,-518.5038854745163
1747591143.7786613,-509.13192594746874
1747591143.7825828,-500.71673974169295
1747591143.7865043,-493.28761687063786
1747591143.790426,-486.8257614424893
1747591143.7943475,-481.26000518302766
1747591143.798269,-476.48796181025233
1747591143.8021905,-472.39831378659886
1747591143.8061123,-468.88184039898164
1747591143.8100338,-465.83964902461753
1747591143.8139553,-463.1886310826767
1747591143.8178768,-460.86015709814365
1747591143.8217986,-458.7948489428835
1747591143.82572,-456.9377350827808
1747591143.8296416,-455.23714925733856
1747591143.833563,-453.6477007776714
1747591143.8374848,-452.1381828539955
1747591143.8414063,-450.7024845545025
1747591143.8453279,-449.36087810335255
1747591143.8492494,-448.1484809568302
1747591143.853171,-447.1041760607217
1747591143.8570926,-446.26534954762155
1747591143.8610141,-445.6649639491418
1747591143.8649356,-445.33166502641825
1747591143.8688574,-445.2907851670117
1747591143.872779,-445.55960190427976
1747591143.8767004,-446.1404789317224
1747591143.880622,-447.02246071974497
1747591143.8845437,-448.1886838091694
1747591143.8884652,-449.6173598778736
1747591143.8923867,-451.27640397427876
1747591143.8963082,-453.1227988614586
1747591143.90023,-455.1085726357731
1747591143.9041514,-457.18477522802766
1747591143.908073,-459.3003865705632
1747591143.9119945,-461.40132066511484
1747591143.9159162,-463.4322804483321
1747591143.9198377,-465.33913964694545
1747591143.9870598,-254.16879894353497
1747591143.9909813,-293.4443715453388
1747591143.994903,-333.8756782985441
1747591143.9988246,-374.86872887101936
1747591144.002746,-415.8095805494244
1747591144.0066676,-456.08077081341577
1747591144.0105894,-495.07729658483134
1747591144.0145109,-532.2166751358661
1747591144.0184324,-566.9454668477252
1747591144.022354,-598.7484324796271
1747591144.0262756,-627.1584402660188
1747591144.0301971,-651.7590872339445
1747591144.0341187,-672.1856469522709
1747591144.0380402,-688.1389342715285
1747591144.041962,-699.4053000076224
1747591144.0458834,-705.8580526722415
1747591144.049805,-707.4390014503163
1747591144.0537264,-704.147600399217
1747591144.0576482,-696.0539522155766
1747591144.0615697,-683.3174636471952
1747591144.0654912,-666.183662836438
1747591144.0694127,-644.9612302025527
1747591144.0733345,-619.9968674101646
1747591144.077256,-591.6500819694421
1747591144.0811775,-560.2743597616638
1747591144.085099,-526.217527270245
1747591144.0890207,-489.8533329658237
1747591144.0929422,-451.6417203061324
1747591144.0968637,-412.15196417671666
1747591144.1007853,-372.01733727976045
1747591144.104707,-331.8869145980992
1747591144.1086285,-292.3938668055198
1747591144.11255,-254.1241544587435
1747591146.7972405,-252.41866424553663
1747591146.801162,-263.32669296117535
1747591146.8050835,-274.2532307927013
1747591146.809005,-285.1579970756586
1747591146.8129268,-295.9816603860912
1747591146.8168483,-306.64221683079876
1747591146.8207698,-317.04496997152796
1747591146.8246913,-327.0914881996375
1747591146.828613,-336.68766622945213
1747591146.8325346,-345.76106049007115
1747591146.836456,-354.2712373602747
1747591146.8403776,-362.20164724069895
1747591146.8442993,-369.5495498418997
1747591146.8482208,-376.322427886105
1747591146.8521423,-382.53243468468787
1747591146.8560638,-388.1843604073841
1747591146.8599856,-393.2641560298568
1747591146.863907,-397.7403304331506
1747591146.8678286,-401.5738198498824
1747591146.87175,-404.7224796214592
1747591146.8756719,-407.1491743021237
1747591146.8795934,-408.844697919032
1747591146.883515,-409.8445035086696
1747591146.8874364,-410.2177050749575
1747591146.8913581,-410.04090069221706
1747591146.8952796,-409.3774280207918
1747591146.8992012,-408.2685699159863
1747591146.9031227,-406.73771284927255
1747591146.9070444,-404.8031408459149
1747591146.910966,-402.4893196916949
1747591146.9148874,-399.82681840823375
1747591146.918809,-396.84249077067295
1747591146.9227307,-393.5598629183852
1747591146.9266522,-390.0201708652087
1747591147.0993404,-260.4042056563779
1747591147.103262,-293.3016394519767
1747591147.1071835,-326.59711650857633
1747591147.111105,-359.87910508330094
1747591147.1150267,-392.73877343296965
1747591147.1189482,-424.78144087516176
1747591147.1228697,-455.6346438297843
1747591147.1267912,-484.95464436696045
1747591147.130713,-512.4309667057391
1747591147.1346345,-537.7872510453128
1747591147.138556,-560.7836966412068
1747591147.1424775,-581.2250278503271
1747591147.1463993,-598.9664599838911
1747591147.1503208,-613.9092145038614
1747591147.1542423,-625.9936730637428
1747591147.1581638,-635.2076593586611
1747591147.1620855,-641.6087887208674
1747591147.166007,-645.335429707054
1747591147.1699286,-646.5909764975621
1747591147.17385,-645.6167333200195
1747591147.1777718,-642.665727294864
1747591147.1816933,-637.9771546106573
1747591147.1856148,-631.7667208950074
1747591147.1895363,-624.2389315333716
1747591147.193458,-615.5955893134146
1747591147.1973796,-606.0266817149796
1747591147.201301,-595.7013661562266
1747591147.2052226,-584.7706873878028
1747591147.2091444,-573.371392122063
1747591147.2130659,-561.6260504090268
1747591147.2169874,-549.6466456012446
1747591147.2209089,-537.5393636171589
1747591147.2248306,-525.4042209350507
1747591147.2287521,-513.3296667838987
1747591147.2326736,-501.38417287022264
1747591147.2365952,-489.60454740607656
1747591147.240517,-477.97424667564354
1747591147.2444384,-466.40078734312846
1747591147.24836,-454.71944398563744
1747591147.2522814,-442.71750287833447
1747591147.2562032,-430.15082217741394
1747591147.2601247,-416.7547425226291
1747591147.2640462,-402.26491864585216
1747591147.2679677,-386.4450669248145
1747591147.2718894,-369.10644866298867
1747591147.275811,-350.1114274597123
1747591147.2797325,-329.36977312496657
1747591147.283654,-306.8285863282573
1747591147.2875757,-282.44924293061416
1747591147.2914972,-256.19455639904015
1747591147.3503208,258.2239196551937
1747591147.3542423,285.7327762795764
1747591147.3581638,310.3953412366104
1747591147.3620853,331.92739876729036
1747591147.366007,350.08490579133985
1747591147.3699286,364.68741097146886
1747591147.37385,375.63190701838084
1747591147.3777716,382.9101977477245
1747591147.3816934,386.61328337956814
1747591147.3856149,386.9079319643083
1747591147.3895364,384.01681899345226
1747591147.393458,378.2228377665501
1747591147.3973796,369.86926590331507
1747591147.4013011,359.33803080833394
1747591147.4052227,347.02780502740245
1747591147.4091442,333.32571188077816
1747591147.413066,318.55103631904524
1747591147.4169874,302.9407565776075
1747591147.420909,286.72702761229675
1747591147.4248304,270.20776781260525
1747591147.4287522,253.7387151988542
1747591147.5032618,270.65978794450314
1747591147.5071836,295.47475173079255
1747591147.511105,323.01989360656324
1747591147.5150266,353.19338319473746
1747591147.518948,385.82783430078615
1747591147.5228698,420.72262589623864
1747591147.5267913,457.6258992141966
1747591147.5307128,496.2149405424395
1747591147.5346344,536.1249004452033
1747591147.538556,576.9818712294384
1747591147.5424776,618.3963128412206
1747591147.546399,659.9525492201055
1747591147.5503206,701.2063508033475
1747591147.5542424,741.6474722308961
1747591147.558164,780.6481237903344
1747591147.5620854,817.44584565141
1747591147.566007,851.1930638041167
1747591147.5699286,881.0722161495586
1747591147.5738502,906.3891012361993
1747591147.5777717,926.6101846535262
1747591147.5816932,941.3680733955197
1747591147.585615,950.4302288756287
1747591147.5895364,953.6613443796585
1747591147.593458,951.0069585971189
1747591147.5973794,942.508320205899
1747591147.6013012,928.3220871569278
1747591147.6052227,908.7021169202088
1747591147.6091442,884.0174674753722
1747591147.6130657,854.8071554462571
1747591147.6169875,821.7617284822692
1747591147.620909,785.6930089959505
1747591147.6248305,747.5495759205904
1747591147.628752,708.3801157962962
