t,eeg
1747592760.2144914,-251.45447276763775
1747592760.218413,-288.3626519986544
1747592760.2223346,-326.05533889658193
1747592760.2262561,-363.9840732188698
1747592760.2301776,-401.6408353975113
1747592760.2340994,-438.55225490815087
1747592760.238021,-474.2682111229242
1747592760.2419424,-508.35101507823595
1747592760.245864,-540.3681976160199
1747592760.2497857,-569.905729480609
1747592760.2537072,-596.6002803662664
1747592760.2576287,-620.1580238100249
1747592760.2615502,-640.3483780885891
1747592760.265472,-657.0002831525273
1747592760.2693934,-670.0160369299258
1747592760.273315,-679.3827887010691
1747592760.2772365,-685.1668009760543
1747592760.2811582,-687.4952431827174
1747592760.2850797,-686.5265898781605
1747592760.2890012,-682.416464807073
1747592760.2929227,-675.3085610311208
1747592760.2968445,-665.3610961258458
1747592760.300766,-652.7711727117717
1747592760.3046875,-637.7698288200245
1747592760.308609,-620.6115203625354
1747592760.3125308,-601.5828115796634
1747592760.3164523,-581.0182596126774
1747592760.3203738,-559.3015616805637
1747592760.3242953,-536.8459087806236
1747592760.328217,-514.0606630573807
1747592760.3321385,-491.3125683245155
1747592760.33606,-468.8943296095452
1747592760.3399816,-447.02259917816303
1747592760.3439033,-425.8626849296225
1747592760.3478248,-405.54528096380614
1747592760.3517463,-386.1648529111882
1747592760.3556678,-367.785596319807
1747592760.3595896,-350.4630217352377
1747592760.363511,-334.26014282468503
1747592760.3674326,-319.2495497295746
1747592760.371354,-305.5099005330667
1747592760.3752759,-293.1141022033882
1747592760.3791974,-282.10255823059254
1747592760.3831189,-272.4602342577177
1747592760.3870404,-264.12110145807145
1747592760.3909621,-256.98341952330844
1747592760.3948836,-250.90911037775876
1747592776.6487815,-251.790835860174
1747592776.652703,-293.6207004598417
1747592776.6566246,-337.28787090949186
1747592776.6605463,-382.3220155934887
1747592776.6644678,-428.2309254940195
1747592776.6683893,-474.51544664277566
1747592776.6723108,-520.676893577418
1747592776.6762326,-566.2246985849347
1747592776.680154,-610.689539454088
1747592776.6840756,-653.6342966692747
1747592776.687997,-694.6578051808958
1747592776.6919188,-733.398202850596
1747592776.6958404,-769.5402774558816
1747592776.6997619,-802.8207234355594
1747592776.7036834,-833.0275621304802
1747592776.7076051,-859.9992009540138
1747592776.7115266,-883.6263346778442
1747592776.7154481,-903.851983694342
1747592776.7193696,-920.6673553810388
1747592776.7232914,-934.1079922788398
1747592776.727213,-944.2521067997682
1747592776.7311344,-951.21720248832
1747592776.735056,-955.1538815870489
1747592776.7389777,-956.2407674374799
1747592776.7428992,-954.6814373589727
1747592776.7468207,-950.6997945531404
1747592776.7507422,-944.5334920891662
1747592776.754664,-936.4290604317475
1747592776.7585855,-926.639114266617
1747592776.762507,-915.4182528410456
1747592776.7664285,-903.0174866862343
1747592776.7703502,-889.680530380896
1747592776.7742717,-875.6421994569114
1747592776.7781932,-861.1258367605094
1747592776.7821147,-846.3395564384941
1747592776.7860365,-831.4741581749722
1747592776.789958,-816.7029510933843
1747592776.7938795,-802.1809083404505
1747592776.797801,-788.0428912571091
1747592776.8017228,-774.4031903542427
1747592776.8056443,-761.3565652719943
1747592776.8095658,-748.9787718642855
1747592776.8134873,-737.3263990672061
1747592776.817409,-726.437695719164
1747592776.8213305,-716.3344002481491
1747592776.825252,-707.0230447753645
1747592776.8291736,-698.4957546987521
1747592776.8330953,-690.7318210001404
1747592776.8370168,-683.69984614118
1747592776.8409383,-677.3592506748081
1747592776.8448598,-671.6613688050386
1747592776.8487816,-666.5511937731774
1747592776.852703,-661.9694219702266
1747592776.8566246,-657.8537502622388
1747592776.860546,-654.1397746450085
1747592776.8644679,-650.7624528160381
1747592776.8683894,-647.6577432419908
1747592776.8723109,-644.763476234515
1747592776.8762324,-642.019810812732
1747592776.8801541,-639.3701641853
1747592776.8840756,-636.7622879315844
1747592776.8879972,-634.1486584028605
1747592776.8919187,-631.4864668688646
1747592776.8958404,-628.737981736803
1747592776.899762,-625.8710527424048
1747592776.9036834,-622.8590766851688
1747592776.907605,-619.6806331990731
1747592776.9115267,-616.3194055137802
1747592776.9154482,-612.7642253075402
1747592776.9193697,-609.0087329276384
1747592776.9232912,-605.0508209003067
1747592776.927213,-600.8923110694682
1747592776.9311345,-596.5387220769918
1747592776.935056,-591.9987690040969
1747592776.9389775,-587.2837649391371
1747592776.9428992,-582.4072431573773
1747592776.9468207,-577.384636460032
1747592776.9507422,-572.2327562243116
1747592776.9546638,-566.9692616010179
1747592776.9585855,-561.6123569411544
1747592776.962507,-556.1805282095821
1747592776.9664285,-550.6921108372213
1747592776.97035,-545.1648900011462
1747592776.9742718,-539.6159326926352
1747592776.9781933,-534.0614566592153
1747592776.9821148,-528.516548567197
1747592776.9860363,-522.9949182524855
1747592776.989958,-517.5088678944613
1747592776.9938796,-512.0693016996241
1747592776.997801,-506.68560377505054
1747592777.0017226,-501.3655370261941
1747592777.0056443,-496.11531887044396
1747592777.0095658,-490.9397348219434
1747592777.0134873,-485.8421434345878
1747592777.0174088,-480.8244872941529
1747592777.0213306,-475.88743293890633
1747592777.025252,-471.0305345592611
1747592777.0291736,-466.2523112752983
1747592777.0330951,-461.5503247678284
1747592777.0370169,-456.92134269688285
1747592777.0409384,-452.3615041409133
1747592777.04486,-447.8664141003452
1747592777.0487814,-443.431241057871
1747592777.0527031,-439.05087115434776
1747592777.0566247,-434.72004368028354
1747592777.0605462,-430.43342312533196
1747592777.0644677,-426.18567954202837
1747592777.0683894,-421.9716111373513
1747592777.072311,-417.78623603272894
1747592777.0762324,-413.6248236608264
1747592777.080154,-409.4829373129399
1747592777.0840757,-405.35651401642565
1747592777.0879972,-401.2419122695277
1747592777.0919187,-397.1359032848396
1747592777.0958402,-393.0356726427242
1747592777.099762,-388.9388572215449
1747592777.1036835,-384.8435564963333
1747592777.107605,-380.74829524116285
1747592777.1115265,-376.65199436454486
1747592777.1154482,-372.5539736233384
1747592777.1193697,-368.45393759966936
1747592777.1232913,-364.35192468700666
1747592777.1272128,-360.2482631029652
1747592777.1311345,-356.1435533821218
1747592777.135056,-352.03864091640304
1747592777.1389775,-347.9345639131774
1747592777.142899,-343.8325096373321
1747592777.1468208,-339.73379131826596
1747592777.1507423,-335.63981808594303
1747592777.1546638,-331.5520445143431
1747592777.1585853,-327.47192781618276
1747592777.162507,-323.40086106103814
1747592777.1664286,-319.3401271944645
1747592777.17035,-315.2903691029206
1747592777.1742716,-311.2490448848739
1747592777.1781933,-307.20680751024395
1747592777.1821148,-303.14615172311494
1747592777.1860363,-299.04179195409074
1747592777.1899579,-294.8610479639285
1747592777.1938796,-290.56637217721214
1747592777.197801,-286.118207367314
1747592777.2017226,-281.47329965219643
1747592777.2056441,-276.5845325265589
1747592777.2095659,-271.40911288073283
1747592777.2134874,-265.9156327574797
1747592777.217409,-260.08219886575307
1747592777.2213304,-253.893296779658
1747592777.515448,250.21856903306144
1747592777.5193696,250.79611505110566
1747592777.5232913,251.3034858139651
1747592777.5272129,251.78416108003464
1747592777.5539162,-251.59659189188594
1747592777.5578377,-279.7596029187714
1747592777.5617592,-307.9783660147984
1747592777.565681,-335.9515295423541
1747592777.5696025,-363.370836485434
1747592777.573524,-389.91936557661575
1747592777.5774455,-415.29921397652845
1747592777.5813673,-439.2519591297484
1747592777.5852888,-461.56234732522034
1747592777.5892103,-482.06441160120914
1747592777.5931318,-500.6487991770201
1747592777.5970535,-517.2577339523611
1747592777.600975,-531.8710923946804
1747592777.6048965,-544.4996588503582
1747592777.608818,-555.1844872958419
1747592777.6127398,-563.9829527859797
1747592777.6166613,-570.9494318858402
1747592777.6205828,-576.1367293329806
1747592777.6245043,-579.604771552883
1747592777.628426,-581.4150165606328
1747592777.6323476,-581.6304580164704
1747592777.636269,-580.3345111780585
1747592777.6401906,-577.6455876372764
1747592777.6441123,-573.7098872207122
1747592777.6480339,-568.6826390691092
1747592777.6519554,-562.7166385427387
1747592777.6558769,-555.9538367115308
1747592777.6597986,-548.5074844276024
1747592777.6637201,-540.459157854365
1747592777.6676416,-531.8878312602474
1747592777.6715631,-522.8938823886078
1747592777.675485,-513.596267552224
1747592777.6794064,-504.1272266801961
1747592777.683328,-494.63266357296743
1747592777.6872494,-485.26436395558375
1747592777.6911712,-476.1667652490392
1747592777.6950927,-467.4698099411162
1747592777.6990142,-459.2808084307253
1747592777.7029357,-451.6617684869288
1747592777.7068574,-444.6099487293758
1747592777.710779,-438.07020161156197
1747592777.7147005,-431.9634359367576
1747592777.718622,-426.19782401511776
1747592777.7225437,-420.672654149249
1747592777.7264652,-415.3012084873282
1747592777.7303867,-410.04161290775977
1747592777.7343082,-404.9076398195268
1747592777.73823,-399.9536843729144
1747592777.7421515,-395.24637220144274
1747592777.746073,-390.83157265405316
1747592777.7499945,-386.7046856713917
1747592777.7539163,-382.80736820483315
1747592777.7578378,-379.0568462017587
1747592777.7617593,-375.37153435195944
1747592777.7656808,-371.67309639011415
1747592777.7696025,-367.8915435837077
1747592777.773524,-363.9860031801983
1747592777.7774456,-359.9583788409174
1747592777.781367,-355.8501940044739
1747592777.7852888,-351.7351443004488
1747592777.7892103,-347.7076268790369
1747592777.7931318,-343.8575896189419
1747592777.7970533,-340.2439383864234
1747592777.800975,-336.8894887154866
1747592777.8048966,-333.78881874539616
1747592777.808818,-330.9055230546906
1747592777.8127396,-328.1697520851401
1747592777.8166614,-325.49937600813433
1747592777.8205829,-322.83247758717573
1747592777.8245044,-320.1417455214832
1747592777.828426,-317.427183770767
1747592777.8323476,-314.7012947480585
1747592777.8362691,-311.967473975511
1747592777.8401906,-309.19594886736814
1747592777.8441122,-306.32385921298993
1747592777.848034,-303.28315400037184
1747592777.8519554,-300.02236082562047
1747592777.855877,-296.5064066326677
1747592777.8597984,-292.7142488602565
1747592777.8637202,-288.648453905168
1747592777.8676417,-284.3425382765335
1747592777.8715632,-279.8533918704039
1747592777.8754847,-275.2511807446342
1747592777.8794065,-270.6100268969924
1747592777.883328,-265.9837910072373
1747592777.8872495,-261.38170555060503
1747592777.891171,-256.7762113111307
1747592777.8950927,-252.12748267861417
1747592779.4664004,-258.96016905476233
1747592779.470322,-270.05847544786826
1747592779.4742434,-280.0440908383165
1747592779.4781651,-288.85352770820367
1747592779.4820867,-296.3950525921313
1747592779.4860082,-302.57958940127526
1747592779.4899297,-307.3377329785355
1747592779.4938514,-310.6214225954467
1747592779.497773,-312.4182601813981
1747592779.5016944,-312.77381488428495
1747592779.505616,-311.7993435481601
1747592779.5095377,-309.6583894053977
1747592779.5134592,-306.54037028310455
1747592779.5173807,-302.6276493494899
1747592779.5213022,-298.06135847724556
1747592779.525224,-292.92977716615036
1747592779.5291455,-287.29178989827574
1747592779.533067,-281.1999646117504
1747592779.5369885,-274.6992205891469
1747592779.5409102,-267.830096864229
1747592779.5448318,-260.65414774216976
1747592779.5487533,-253.27369716428626
1747592800.1748233,-260.9511941224785
1747592800.1787448,-272.55371062481
1747592800.1826665,-283.7667012089484
1747592800.186588,-294.6478158518117
1747592800.3617373,-258.4042141159504
1747592800.365659,-287.73393893264745
1747592800.3695805,-317.54768053958554
1747592800.373502,-347.6132185872355
1747592800.3774235,-377.65151328355427
1747592800.3813453,-407.3518306171874
1747592800.3852668,-436.39564236226033
1747592800.3891883,-464.46798918219105
1747592800.3931098,-491.26657217676734
1747592800.3970315,-516.522618562737
1747592800.400953,-540.0245275825396
1747592800.4048746,-561.6273639926831
1747592800.408796,-581.2465624219918
1747592800.4127178,-598.8455844578608
1747592800.4166393,-614.4188526424256
1747592800.4205608,-627.9714525300386
1747592800.4244823,-639.5135101540083
1747592800.428404,-649.0716699281775
1747592800.4323256,-656.6910367004803
1747592800.436247,-662.4235360631066
1747592800.4401686,-666.3300836155609
1747592800.4440904,-668.5002422010028
1747592800.4480119,-669.0621153966156
1747592800.4519334,-668.1721740274173
1747592800.455855,-666.0003261303451
1747592800.4597766,-662.7146363838943
1747592800.4636981,-658.4605900805176
1747592800.4676197,-653.3511683307354
1747592800.4715412,-647.4841174950925
1747592800.475463,-640.96618900557
1747592800.4793844,-633.9168154830676
1747592800.483306,-626.45839691378
1747592800.4872274,-618.7108400593148
1747592800.4911492,-610.7863864837383
1747592800.4950707,-602.7833394767372
1747592800.4989922,-594.7911079899492
1747592800.5029137,-586.9031278758301
1747592800.5068355,-579.2182350590341
1747592800.510757,-571.8245531202839
1747592800.5146785,-564.7853695748888
1747592800.5186,-558.1425395453209
1747592800.5225217,-551.9174657990982
1747592800.5264432,-546.0975548053221
1747592800.5303648,-540.6376066181621
1747592800.5342863,-535.4849251832031
1747592800.538208,-530.598765865325
1747592800.5421295,-525.9554360244234
1747592800.546051,-521.5496018554575
1747592800.5499725,-517.3893715029324
1747592800.5538943,-513.4821579629397
1747592800.5578158,-509.82199143068567
1747592800.5617373,-506.38988133328917
1747592800.5656588,-503.1559074653272
1747592800.5695806,-500.0645497310477
1747592800.573502,-497.02330575408496
1747592800.5774236,-493.92075424362747
1747592800.581345,-490.65170562471326
1747592800.5852668,-487.12488406851435
1747592800.5891883,-483.26713515745814
1747592800.5931098,-479.03644201905547
1747592800.5970314,-474.43373214650313
1747592800.600953,-469.49906403937456
1747592800.6048746,-464.291161250816
1747592800.6087961,-458.8648286736689
1747592800.6127176,-453.2501728827064
1747592800.6166394,-447.43413126875595
1747592800.620561,-441.36644800740567
1747592800.6244824,-434.9905364085061
1747592800.628404,-428.2634170007757
1747592800.6323256,-421.15873124657713
1747592800.6362472,-413.67915066906284
1747592800.6401687,-405.87511744469515
1747592800.6440902,-397.8435267035428
1747592800.648012,-389.7079364081094
1747592800.6519334,-381.60390351459506
1747592800.655855,-373.67001136302383
1747592800.6597764,-366.02898468518475
1747592800.6636982,-358.7689498612225
1747592800.6676197,-351.9437039439711
1747592800.6715412,-345.58042225774176
1747592800.6754627,-339.68049742811115
1747592800.6793845,-334.2285107054539
1747592800.683306,-329.2166948884837
1747592800.6872275,-324.6620269551835
1747592800.691149,-320.60160698411124
1747592800.6950707,-317.077629801479
1747592800.6989923,-314.1217207059266
1747592800.7029138,-311.7360610123719
1747592800.7068353,-309.88143799140175
1747592800.710757,-308.49145332041587
1747592800.7146785,-307.49852565294964
1747592800.7186,-306.83947087731775
1747592800.7225215,-306.4437237655901
1747592800.7264433,-306.2330030074701
1747592800.7303648,-306.1394512728411
1747592800.7342863,-306.1203681207931
1747592800.7382078,-306.1568158940836
1747592800.7421296,-306.24253954500927
1747592800.746051,-306.36447838830986
1747592800.7499726,-306.48038908505964
1747592800.753894,-306.51597246325923
1747592800.7578158,-306.3862087736443
1747592800.7617373,-306.0142298163008
1747592800.7656589,-305.33489258108483
1747592800.7695804,-304.3004228718061
1747592800.773502,-302.89597395386727
1747592800.7774236,-301.1499787776094
1747592800.7813451,-299.128006466673
1747592800.7852666,-296.91679500456434
1747592800.7891884,-294.60819240923115
1747592800.79311,-292.28057115135607
1747592800.7970314,-289.98075809634355
1747592800.800953,-287.72391918745717
1747592800.8048747,-285.50861660902734
1747592800.8087962,-283.32264156529783
1747592800.8127177,-281.1384026283978
1747592800.8166392,-278.91747975154584
1747592800.820561,-276.62578169984727
1747592800.8244824,-274.2457763914387
1747592800.828404,-271.78186897847934
1747592800.8323255,-269.26095097783195
1747592800.8362472,-266.72203736529224
1747592800.8401687,-264.19039376932204
1747592800.8440902,-261.65548180843535
1747592800.8480117,-259.0752181221956
1747592800.8519335,-256.38922266168623
1747592800.855855,-253.51473549403477
1747592800.8597765,-250.33989182298285
1747592800.9970315,263.00091355181803
1747592801.000953,279.6393000945213
1747592801.0048745,295.60025384345147
1747592801.0087962,310.8433214255313
1747592801.0127177,325.31946419369996
1747592801.0166392,338.9580890243089
1747592801.0205607,351.66913568080327
1747592801.0244825,363.3613591357467
1747592801.028404,373.959759886537
1747592801.0323255,383.42061314218137
1747592801.036247,391.7544335184287
1747592801.0401688,399.0401666135115
1747592801.0440903,405.40263603785
1747592801.0480118,410.97348744383976
1747592801.0519333,415.87535328663256
1747592801.055855,420.2195729335778
1747592801.0597765,424.0884433677866
1747592801.063698,427.51067700035003
1747592801.0676196,430.45641999686654
1747592801.0715413,432.85601767563946
1747592801.0754628,434.62904560891536
1747592801.0793843,435.7199498392187
1747592801.0833058,436.13356723370447
1747592801.0872276,435.9391874773666
1747592801.091149,435.23930800748684
1747592801.0950706,434.148740788158
1747592801.098992,432.7988210077802
1747592801.1029139,431.32835807680647
1747592801.1068354,429.84949693060804
1747592801.1107569,428.42402998699623
1747592801.1146784,427.0692161467918
1747592801.1186001,425.7758340032805
1747592801.1225216,424.52855418775624
1747592801.1264431,423.3317548309716
1747592801.1303647,422.22152864813904
1747592801.1342864,421.2462680150553
1747592801.138208,420.4440347188875
1747592801.1421294,419.84632566897994
1747592801.146051,419.487346203108
1747592801.1499727,419.3906317025736
1747592801.1538942,419.54683198871885
1747592801.1578157,419.9076114944881
1747592801.1617372,420.3924847862039
1747592801.165659,420.8999147514969
1747592801.1695805,421.3323926410136
1747592801.173502,421.628898243128
1747592801.1774235,421.7696565122874
1747592801.1813452,421.7487505362227
1747592801.1852667,421.5547091523417
1747592801.1891882,421.1754168852803
1747592801.1931098,420.60031626673884
1747592801.1970315,419.81016308067336
1747592801.200953,418.77686001776095
1747592801.2048745,417.47451022680315
1747592801.208796,415.8797744063856
1747592801.2127178,413.97058393837483
1747592801.2166393,411.74392524724504
1747592801.2205608,409.22808262069486
1747592801.2244823,406.46634668015923
1747592801.228404,403.5030304857787
1747592801.2323256,400.39227805572506
1747592801.236247,397.2010585572108
1747592801.2401686,393.98830204201585
1747592801.2440903,390.7801462884534
1747592801.2480118,387.5616511402616
1747592801.2519333,384.2848580121563
1747592801.2558548,380.8872784725163
1747592801.2597766,377.3232551480351
1747592801.263698,373.5981326711403
1747592801.2676196,369.7715013308116
1747592801.271541,365.92721709252385
1747592801.2754629,362.1534742023446
1747592801.2793844,358.5449349957047
