timestamp,eeg_value
1747593361.2792227,0.0
1747593361.2831442,0.0
1747593361.287066,0.0
1747593361.2909875,0.0
1747593361.294909,0.0
1747593361.2988305,0.0
1747593361.3027523,0.0
1747593361.3066738,0.0
1747593361.3105953,0.0
1747593361.3145168,0.0
1747593361.3184385,0.0
1747593361.32236,0.0
1747593361.3262815,0.0
1747593361.330203,0.0
1747593361.3341248,0.0
1747593361.3380463,0.0
1747593361.3419678,0.0
1747593361.3458893,0.0
1747593361.349811,0.0
1747593361.3537326,0.0
1747593361.357654,0.0
1747593361.3615756,0.0
1747593361.3654974,0.0
1747593361.3694189,0.0
1747593361.3733404,0.0
1747593361.3772619,0.0
1747593361.3811836,0.0
1747593361.3851051,0.0
1747593361.3890266,0.0
1747593361.3929482,0.0
1747593361.39687,0.0
1747593361.4007914,0.0
1747593361.404713,0.0
1747593361.4086344,0.0
1747593361.4125562,0.0
1747593361.4164777,0.0
1747593361.4203992,0.0
1747593361.4243207,0.0
1747593361.4282424,0.0
1747593361.432164,0.0
1747593361.4360855,0.0
1747593361.440007,0.0
1747593361.4439287,0.0
1747593361.4478502,0.0
1747593361.4517717,0.0
1747593361.4556932,0.0
1747593361.459615,0.0
1747593361.4635365,0.0
1747593361.467458,0.0
1747593361.4713795,0.0
1747593361.4753013,0.0
1747593361.4792228,0.0
1747593361.4831443,0.0
1747593361.4870658,0.0
1747593361.4909875,0.0
1747593361.494909,0.0
1747593361.4988306,0.0
1747593361.502752,0.0
1747593361.5066738,0.0
1747593361.5105953,0.0
1747593361.5145168,0.0
1747593361.5184383,0.0
1747593361.52236,0.0
1747593361.5262816,0.0
1747593361.530203,0.0
1747593361.5341246,0.0
1747593361.5380464,0.0
1747593361.5419679,0.0
1747593361.5458894,0.0
1747593361.549811,0.0
1747593361.5537326,0.0
1747593361.5576541,0.0
1747593361.5615757,0.0
1747593361.5654972,0.0
1747593361.569419,0.0
1747593361.5733404,0.0
1747593361.577262,0.0
1747593361.5811834,0.0
1747593361.5851052,0.0
1747593361.5890267,0.0
1747593361.5929482,0.0
1747593361.5968697,0.0
1747593361.6007915,0.0
1747593361.604713,0.0
1747593361.6086345,0.0
1747593361.612556,0.0
1747593361.6164777,0.0
1747593361.6203992,0.0
1747593361.6243207,0.0
1747593361.6282423,0.0
1747593361.632164,0.0
1747593361.6360855,0.0
1747593361.640007,0.0
1747593361.6439285,0.0
1747593361.6478503,0.0
1747593361.6517718,0.0
1747593361.6556933,0.0
1747593361.6596148,0.0
1747593361.6635365,0.0
1747593361.667458,0.0
1747593361.6713796,0.0
1747593361.675301,0.0
1747593361.6792228,0.0
1747593361.6831443,0.0
1747593361.6870658,0.0
1747593361.6909873,0.0
1747593361.694909,0.0
1747593361.6988306,0.0
1747593361.702752,0.0
1747593361.7066736,0.0
1747593361.7105954,0.0
1747593361.7145169,0.0
1747593361.7184384,0.0
1747593361.72236,0.0
1747593361.7262816,0.0
1747593361.7302032,0.0
1747593361.7341247,0.0
1747593361.7380462,0.0
1747593361.741968,0.0
1747593361.7458894,0.0
1747593361.749811,0.0
1747593361.7537324,0.0
1747593361.7576542,0.0
1747593361.7615757,0.0
1747593361.7654972,-0.0007692344075439825
