t,eeg
1747592532.9181309,-250.76918790430952
1747592532.9220524,-279.087108443884
1747592532.9259741,-307.7730193387698
1747592532.9298956,-336.6710495473591
1747592532.9338171,-365.5955237089684
1747592532.9377387,-394.34750502261704
1747592532.9416604,-422.73492002891004
1747592532.945582,-450.57191892041294
1747592532.9495034,-477.67576980794774
1747592532.953425,-503.87822722859215
1747592532.9573467,-529.0340300721984
1747592532.9612682,-553.0181084963173
1747592532.9651897,-575.7301438567439
1747592532.9691112,-597.1072357750202
1747592532.973033,-617.1225171307383
1747592532.9769545,-635.7671971252432
1747592532.980876,-653.0364272537188
1747592532.9847975,-668.9276481847472
1747592532.9887192,-683.4394919711272
1747592532.9926407,-696.5679976145467
1747592532.9965622,-708.3122239075982
1747592533.0004838,-718.6846052367819
1747592533.0044055,-727.7098596997101
1747592533.008327,-735.4213141208786
1747592533.0122485,-741.871085592384
1747592533.01617,-747.1399264895279
1747592533.0200918,-751.325863942669
1747592533.0240133,-754.5233672211075
1747592533.0279348,-756.8157357382104
1747592533.0318563,-758.2763084648863
1747592533.035778,-758.963089407159
1747592533.0396996,-758.9148226414359
1747592533.043621,-758.1619941948329
1747592533.0475426,-756.7409877257767
1747592533.0514643,-754.6988067206602
1747592533.0553858,-752.0957843267713
1747592533.0593073,-749.0079148260857
1747592533.0632288,-745.519992065975
1747592533.0671506,-741.7129482442529
1747592533.071072,-737.6574654196571
1747592533.0749936,-733.4158394957773
1747592533.078915,-729.0426276612816
1747592533.0828369,-724.5803268126953
1747592533.0867584,-720.0600011747741
1747592533.09068,-715.5092174734759
1747592533.0946014,-710.9541121766509
1747592533.0985231,-706.414865486397
1747592533.1024446,-701.908644121719
1747592533.1063662,-697.458026436678
1747592533.1102877,-693.0907118526832
1747592533.1142094,-688.8312940312827
1747592533.118131,-684.6963645669189
1747592533.1220524,-680.6953126382219
1747592533.125974,-676.8315738241312
1747592533.1298957,-673.1040906826021
1747592533.1338172,-669.5113546759509
1747592533.1377387,-666.0533871249733
1747592533.1416602,-662.728233456207
1747592533.145582,-659.5293650248437
1747592533.1495035,-656.4481591001652
1747592533.153425,-653.4757729233653
1747592533.1573465,-650.60066083506
1747592533.1612682,-647.806724383613
1747592533.1651897,-645.0755131628596
1747592533.1691113,-642.3876288621113
1747592533.1730328,-639.7203398162249
1747592533.1769545,-637.04682083524
1747592533.180876,-634.3396628929781
1747592533.1847975,-631.5738314827402
1747592533.188719,-628.7273877295113
1747592533.1926408,-625.7824470153562
1747592533.1965623,-622.7259439275746
1747592533.2004838,-619.5482781703856
1747592533.2044053,-616.2394851915406
1747592533.208327,-612.7851143799683
1747592533.2122486,-609.1657845501788
1747592533.21617,-605.3601935056083
1747592533.2200916,-601.34887947258
1747592533.2240133,-597.119563438055
1747592533.2279348,-592.6714972402872
1747592533.2318563,-588.012958173905
1747592533.2357779,-583.1554289167822
1747592533.2396996,-578.1123906080546
1747592533.243621,-572.901138316916
1747592533.2475426,-567.5422935155602
1747592533.2514641,-562.0586926191313
1747592533.2553859,-556.4760240517583
1747592533.2593074,-550.8223177506437
1747592533.263229,-545.1258284954897
1747592533.2671504,-539.4145106553335
1747592533.2710721,-533.7162672049064
1747592533.2749937,-528.0573493908671
1747592533.2789152,-522.460676827632
1747592533.2828367,-516.9465650258912
1747592533.2867584,-511.53394938643726
1747592533.29068,-506.23911839368145
1747592533.2946014,-501.0710440215075
